,answers.0.values,answers.1.values,answers.10.values,answers.2.values,answers.3.values,answers.4.values,answers.5.values,answers.6.values,answers.7.values,answers.8.values,createdAt,country
0,Almanya,frankfurt,,galatasaray,tekstil,,,,,,2021-04-06 17:17:09.491000+00:00,Almanya
1,Almanya,berlin,Gelişmeli ,bayern munih,mağaza müdürü,,,,,,2021-04-05 15:28:00.139000+00:00,Almanya
2,Azerbaijan,baki,Ben Bu işte yeniyim sadece arkadasimin onerisiyle buldum sizi . Gelecegin cryphto valute ' dogru gittigini gordugum icin ben merak duyuyorum . Bilgim az oldugu icin ne yapacagima dair bir fikrim yok ama hizli ogrenen birisi oldugumu biliyorum :) ,qarabag fc,aşçılık,,,,,,2021-04-01 12:54:50.745000+00:00,Azerbaijan
3,Azerbaijan,bakü,,real madrid,okuyorum,,,,,,2021-04-01 21:11:33.585000+00:00,Azerbaijan
4,Azerbaijan,baku,Para kazanmak için geldim :),galatasaray,mühendis,,,,,,2021-04-01 21:05:20.649000+00:00,Azerbaijan
5,Azerbaijan,bakü, ,galatasaray,business man,,,,,,2021-04-03 19:25:39.468000+00:00,Azerbaijan
6,Azerbaijan,baku,,boks,pc,,,,,,2021-04-03 22:14:37.662000+00:00,Azerbaijan
7,Azerbaijan,baki,Ben Bu işte yeniyim sadece arkadasimin onerisiyle buldum sizi . Gelecegin cryphto valute ' dogru gittigini gordugum icin ben merak duyuyorum . Bilgim az oldugu icin ne yapacagima dair bir fikrim yok ama hizli ogrenen birisi oldugumu biliyorum :) ,qarabag fc,aşçılık,,,,,,2021-04-01 12:54:50.745000+00:00,Azerbaijan
8,Azerbaijan,baki,,beşiktaş,öyrenci,,,,,,2021-04-05 11:11:20.370000+00:00,Azerbaijan
9,Azerbaijan,bakü,,real madrid,okuyorum,,,,,,2021-04-01 21:11:33.585000+00:00,Azerbaijan
10,Azerbaijan,bakü,,real madrid,öğrenci,,,,,,2021-04-05 12:11:41.467000+00:00,Azerbaijan
11,Azerbaijan,baku,,beşiktaş,öğrenci,,,,,,2021-03-31 20:30:50.111000+00:00,Azerbaijan
12,Azerbaijan,baku,,beşiktaş,öğrenci,,,,,,2021-03-31 20:30:50.111000+00:00,Azerbaijan
13,Azerbaijan,bakı,,beşiktaş,kompyuter,,,,,,2021-04-02 22:13:49.885000+00:00,Azerbaijan
14,Azerbaijan,baku,Para kazanmak için geldim :),galatasaray,mühendis,,,,,,2021-04-01 21:05:20.649000+00:00,Azerbaijan
